Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
Delaware,212,,43,,,,15,0,,13,46,22,16
Delaware,197,,46,,,,13,,,10,41,13,
Delaware,187,,55,,,,,,,13,32,16,
Delaware,196,,41,,,,,,,10,41,15,12
Delaware,219,,40,,10,0,,,,13,60,19,
Delaware,160,,36,,,,,,,,38,12,
Delaware,134,,30,,,,,,,,36,10,
District of Columbia,109,,20,0,0,,,,0,0,33,,0
District of Columbia,102,,21,,,,,0,0,,26,16,0
District of Columbia,120,,28,,,,,0,,,33,11,0
District of Columbia,115,,32,,,,,,,0,26,,0
District of Columbia,117,,25,,,,,,0,,41,,0
District of Columbia,112,,20,,,,,,,,32,,0
District of Columbia,104,,18,,,,,0,,0,30,,0
District of Columbia,89,,20,,,,0,,0,,23,,0
District of Columbia,116,,25,,,0,,,,0,26,10,0
District of Columbia,102,,23,,0,,,,,0,22,,0
District of Columbia,101,0,32,,,,,,,0,20,,0
District of Columbia,112,,29,,,,,0,,0,24,,
District of Columbia,115,,21,,,,,,0,,34,11,
District of Columbia,139,,22,,,0,,,0,0,31,,25
District of Columbia,173,,35,,,,,0,,,38,10,37
District of Columbia,175,,22,,,,,,,0,39,,59
District of Columbia,222,,26,,,,,0,,,37,11,90
District of Columbia,185,,25,,,,,0,,0,33,,75
District of Columbia,188,,19,,,,,,,,29,,86
District of Columbia,168,,16,,0,,,,,,22,,71
District of Columbia,159,,31,,,,,0,,,36,,49
District of Columbia,144,,23,,0,,,,0,0,33,,42
District of Columbia,132,,18,,0,,,,,0,27,,38
District of Columbia,124,,17,0,,,,0,0,,30,10,30
District of Columbia,117,,22,,,,,0,,0,24,,28
District of Columbia,104,,19,,,0,,,0,0,23,,19
District of Columbia,95,,18,,,0,,0,,0,21,,16
District of Columbia,111,,27,,,,,,0,,28,,
District of Columbia,105,,23,,0,,,0,,0,26,,13
District of Columbia,100,,24,,0,0,,,,0,28,,
District of Columbia,117,0,24,,,,,0,,,36,11,10
District of Columbia,91,0,14,,,,,,0,,19,11,
District of Columbia,100,,22,,0,,,,,,23,,
District of Columbia,88,0,22,,,0,,,,0,23,,11
District of Columbia,117,,22,,,,,,,0,31,,
District of Columbia,115,,19,,,,,,,,32,,
District of Columbia,106,,22,,,,,0,0,0,31,,
District of Columbia,88,,17,,0,,,0,,,22,,
District of Columbia,96,0,18,,,,,,,,34,,
District of Columbia,112,,23,,0,,,,,0,22,,10
District of Columbia,123,,24,,,,,0,,,26,13,14
District of Columbia,103,,22,,,0,,,0,0,18,12,
District of Columbia,90,0,23,,,,,0,,0,21,,
District of Columbia,112,,24,,,,,0,,0,33,,
District of Columbia,111,,27,0,,,,,0,0,31,11,12
District of Columbia,107,,22,,,,,,0,0,25,,10
District of Columbia,122,,21,,,,,,,0,30,,16
District of Columbia,104,,25,,0,,,,,,17,,15
District of Columbia,134,,26,,,0,,,0,,34,11,20
District of Columbia,148,,22,,,,0,0,,0,47,,21
District of Columbia,132,,21,,0,0,,,,,36,,34
District of Columbia,145,,24,,,0,,,,,33,,40
District of Columbia,169,,21,,,,,0,,0,39,10,36
District of Columbia,145,,25,,0,0,,0,,,37,,37
District of Columbia,154,,26,,,,,,,0,40,,41
District of Columbia,134,,20,,,0,,,,,41,10,38
District of Columbia,159,,22,,,0,,,,0,41,,50
District of Columbia,136,,23,,0,,,0,,0,23,13,43
District of Columbia,132,0,25,,0,,,,,,39,,32
District of Columbia,145,,25,,,,,,,,38,,23
District of Columbia,126,,21,,,0,,0,0,,30,,30
District of Columbia,117,,25,,0,0,,,,,26,,22
District of Columbia,107,,22,0,,,0,0,,,25,,13
District of Columbia,120,,19,,0,,,,,,39,11,10
District of Columbia,108,,26,,0,,,0,0,,27,,12
District of Columbia,97,0,20,,,,,,,0,15,,16
District of Columbia,128,,26,,,,,,,0,35,,16
District of Columbia,103,,18,,0,,,,,0,27,,19
District of Columbia,105,,19,,,,,,0,0,19,,12
District of Columbia,97,0,19,,,,,,0,,28,,
District of Columbia,103,0,22,,,,,,,0,19,,
District of Columbia,104,,21,,0,,,,,,22,,14
District of Columbia,113,,22,,,,,,0,0,24,,11
District of Columbia,95,,25,,0,,,0,,0,22,,
District of Columbia,101,0,21,,0,,,,,,35,,
District of Columbia,115,,28,,,,,,,0,29,,
District of Columbia,103,,18,,0,,,,,,38,,
District of Columbia,97,,14,,0,,,,0,,23,,
District of Columbia,80,,17,,,,,0,,,17,,
District of Columbia,130,,27,,,,,,0,,27,,
District of Columbia,101,,19,,,,,0,,,32,,
District of Columbia,98,,29,,,,,0,,,17,,
District of Columbia,87,,19,,0,0,,0,0,,21,,
District of Columbia,99,,19,,,,,,,,35,,
District of Columbia,123,,31,,0,0,,,,,38,,
District of Columbia,110,,20,,,,,,,0,28,,13
District of Columbia,100,0,20,,0,,,,0,0,23,,11
District of Columbia,107,,16,,0,0,,0,0,,30,13,14
District of Columbia,96,,22,0,0,,0,,,0,25,11,
District of Columbia,104,,25,,0,0,,,0,0,19,,10
District of Columbia,110,,18,,,,0,,,,29,13,10
District of Columbia,118,,24,0,0,0,,0,,,30,13,13
District of Columbia,127,,28,,,,,,,,38,,
District of Columbia,113,,30,0,,,,,0,,19,,
District of Columbia,104,,30,,,,,,0,0,20,,
District of Columbia,119,,28,,0,,,0,,,25,,10
District of Columbia,104,,29,,,,,0,,,21,,
District of Columbia,121,,25,,,,,,,,35,10,
District of Columbia,105,,21,,,,,,,,25,13,
District of Columbia,106,,18,,,,0,0,0,0,41,,
District of Columbia,106,,23,,,0,,,,,25,,
District of Columbia,124,,28,,0,,,,,0,37,,11
District of Columbia,99,0,21,,0,,,0,,,25,,
District of Columbia,118,,23,,0,,0,,,0,35,11,15
District of Columbia,151,,26,10,0,,,,,,37,,34
District of Columbia,151,,22,,0,,,0,,0,48,,47
District of Columbia,155,,23,,,,,0,0,,33,,45
District of Columbia,179,,26,,,,,,,,40,13,53
District of Columbia,150,,27,0,,,,0,,0,31,,36
District of Columbia,130,,20,,,,,0,,,35,,28
District of Columbia,113,,19,,,,,,,,30,,24
District of Columbia,112,,23,,0,0,,,,0,26,11,18
District of Columbia,108,,12,,,,,,0,0,30,,11
District of Columbia,99,,22,,0,,,,,,23,,
District of Columbia,107,,29,,,,,,,,26,,
District of Columbia,102,,14,,,,,,0,,25,,
District of Columbia,103,,26,,0,,,0,0,0,26,,
District of Columbia,111,,23,,0,0,,,0,,28,,
District of Columbia,100,,19,,0,,,,0,0,32,,
District of Columbia,96,0,29,,,,,,0,,19,10,
District of Columbia,83,,21,,0,,,0,0,0,21,,
District of Columbia,91,,26,,0,,0,,0,0,27,,
District of Columbia,90,0,24,,,0,,,,0,20,,
District of Columbia,102,,20,,,,,,,0,34,,
District of Columbia,99,0,26,0,0,,,,,0,30,,
District of Columbia,93,,19,,0,0,,,,0,25,11,
District of Columbia,93,,24,0,0,,,,,0,21,,
District of Columbia,107,,31,,,,,0,,,26,13,
District of Columbia,111,,15,,0,,,,0,0,28,17,
District of Columbia,96,,19,,0,,,,0,0,34,,
District of Columbia,78,,23,,,,,,,0,24,,
District of Columbia,95,,25,,0,0,,0,,0,18,10,
District of Columbia,101,,17,,0,,,,,,24,,
District of Columbia,106,,24,,,,,,,0,29,,
District of Columbia,102,,22,,0,0,,,,,32,,
District of Columbia,103,0,29,,,0,,,,,31,,
District of Columbia,86,,18,0,0,,,,,0,22,,10
District of Columbia,94,,26,,,,,,0,0,29,,
District of Columbia,92,0,22,,0,,,,0,0,19,,
District of Columbia,106,0,26,,,,,0,0,0,23,13,
District of Columbia,99,,19,,0,,,,,,25,,
District of Columbia,109,,24,,0,,,,,0,38,,
District of Columbia,114,,31,,,,,,0,0,30,,
District of Columbia,106,,19,,,,0,,,,25,,
District of Columbia,111,,22,0,,,,0,0,,29,,
District of Columbia,115,,27,,,0,,,,0,26,,
District of Columbia,103,,17,,,,,,,0,30,,
District of Columbia,94,,21,,,,,,,,23,,0
District of Columbia,104,,18,,,,,,0,,28,,
District of Columbia,98,,16,,,0,,,,,29,,
District of Columbia,118,,27,,,,,,,,33,,
District of Columbia,112,,27,,,,,,,,32,,
District of Columbia,105,,21,,,,,,0,,29,,
District of Columbia,117,0,21,,,,,,0,,43,,
District of Columbia,110,,24,,,0,0,,,,30,,
District of Columbia,104,,15,,,,,0,0,,23,,12
District of Columbia,143,,26,,,,,,,,33,,12
District of Columbia,126,,32,,,,,,,,29,,
District of Columbia,116,,25,,0,,,,,,32,,
District of Columbia,117,,20,,,,,0,,15,24,,
District of Columbia,106,,18,,,0,,,,16,22,,
District of Columbia,116,,22,,,,,,,22,25,,
District of Columbia,106,,18,,0,0,,,,14,26,,
District of Columbia,110,,23,,,0,,0,,15,27,,
District of Columbia,107,,27,,,,,0,,13,27,,
District of Columbia,99,,20,0,,0,,,0,17,18,,
District of Columbia,79,,15,,0,,,0,,12,17,,
District of Columbia,58,0,16,,0,0,,,,,,,
District of Columbia,29,,10,0,0,0,,0,0,,,,0
District of Columbia,,0,0,0,0,0,0,0,0,0,0,,0
Florida,3928,60,873,136,127,87,265,59,75,54,1013,277,0
Florida,3997,54,894,132,124,87,287,63,55,59,1023,317,0
Florida,3992,54,867,121,129,76,287,66,72,73,1000,343,0
Florida,4012,53,929,124,144,91,283,55,66,65,1003,301,0
Florida,4033,55,889,153,141,76,268,66,69,73,993,312,0
Florida,4012,47,878,160,142,79,255,65,76,63,1062,289,0
Florida,3952,53,884,132,122,87,285,65,77,53,1020,297,0
Florida,3975,65,924,136,126,80,253,61,68,63,956,327,0
Florida,3990,49,883,121,127,80,263,60,73,66,1046,296,0
Florida,4104,45,925,148,131,91,285,42,65,75,1007,310,
Florida,4003,49,926,125,127,85,273,65,80,66,980,331,
Florida,3906,63,890,130,129,101,276,60,61,59,954,275,17
Florida,4039,60,933,149,128,88,249,76,43,74,958,303,93
Florida,4099,63,883,138,123,91,256,58,51,70,974,312,219
Florida,4128,49,913,149,132,72,235,50,64,73,941,282,305
Florida,4021,54,847,164,150,60,226,41,58,46,910,296,311
Florida,4131,49,865,148,158,59,255,36,55,66,929,315,326
Florida,3892,51,861,157,142,50,204,49,48,52,849,297,308
Florida,3948,57,861,139,119,61,216,52,68,44,930,259,290
Florida,3858,47,867,137,132,57,233,38,57,62,888,292,257
Florida,3893,45,867,151,132,53,216,41,57,50,947,264,236
Florida,3769,45,822,137,133,45,187,45,70,46,893,271,230
Florida,3829,42,883,117,142,49,211,45,68,58,899,285,223
Florida,3825,40,825,125,116,49,203,48,53,58,946,300,193
Florida,3958,37,864,152,131,48,218,43,59,56,915,312,221
Florida,4044,51,832,133,132,44,217,52,57,67,955,298,324
Florida,4276,49,879,163,146,62,203,50,63,58,997,273,466
Florida,4649,58,861,168,128,54,238,53,64,66,1048,297,785
Florida,5058,58,807,181,167,65,221,55,65,78,987,324,1185
Florida,5269,46,888,170,164,63,217,47,52,64,1030,318,1416
Florida,5356,40,890,151,183,62,228,38,58,65,1026,315,1514
Florida,5141,40,904,139,151,44,208,48,65,76,962,294,1405
Florida,5049,52,876,137,166,50,222,40,78,68,985,338,1185
Florida,4804,42,876,174,150,64,228,50,55,66,962,302,960
Florida,4598,51,857,153,164,49,201,48,63,59,968,299,808
Florida,4295,55,833,140,143,45,208,52,67,51,957,294,658
Florida,4062,63,839,133,119,60,197,42,44,57,884,286,525
Florida,4208,47,904,143,138,50,194,50,57,62,979,266,436
Florida,4023,53,880,136,150,44,188,52,60,62,896,292,424
Florida,3965,55,883,132,122,43,201,40,73,89,890,245,321
Florida,4085,49,841,160,137,51,197,44,59,70,897,315,338
Florida,3987,45,907,137,132,57,203,49,64,51,880,262,332
Florida,3935,42,879,132,146,38,195,50,61,55,907,296,292
Florida,3888,43,851,138,112,55,188,40,55,67,870,281,309
Florida,3859,36,836,136,126,43,175,35,61,64,928,282,304
Florida,4087,47,852,153,136,52,220,44,59,46,927,296,402
Florida,4136,64,858,177,132,52,209,45,56,67,935,296,406
Florida,4211,66,862,137,142,52,208,58,51,69,918,279,499
Florida,4472,51,859,152,143,54,228,65,55,71,992,341,594
Florida,4664,38,899,162,149,59,249,48,76,64,1020,335,584
Florida,4592,65,891,145,146,50,230,48,49,73,967,345,659
Florida,4713,60,915,163,140,54,224,45,66,74,1003,304,784
Florida,5255,73,908,179,179,75,243,53,74,71,1143,360,951
Florida,5048,61,856,183,138,66,228,60,92,55,1042,313,1070
Florida,5480,61,906,190,147,75,250,57,71,60,1112,351,1242
Florida,5200,51,877,176,153,40,242,48,73,60,1042,352,1221
Florida,5060,65,887,178,126,80,219,62,71,71,1015,294,1071
Florida,5093,61,894,155,135,59,205,62,86,92,1125,318,1043
Florida,4988,65,936,149,158,60,213,61,79,57,1029,327,883
Florida,4656,47,903,163,146,54,203,59,63,57,984,332,735
Florida,4460,66,896,161,137,44,196,64,72,62,999,306,607
Florida,4357,54,889,157,118,58,212,49,72,67,988,284,526
Florida,4202,52,892,144,132,52,197,40,61,67,917,297,441
Florida,4115,59,865,144,112,50,217,59,67,57,938,313,396
Florida,4286,57,888,153,126,46,220,44,73,77,1011,304,350
Florida,4029,43,905,156,137,48,194,46,53,61,936,262,364
Florida,4189,43,916,141,119,45,225,48,61,64,989,323,309
Florida,4136,62,946,152,119,45,212,45,53,60,919,255,347
Florida,4243,63,937,144,126,61,198,54,68,70,985,287,390
Florida,4041,42,877,126,119,49,206,61,77,50,906,283,345
Florida,4142,57,905,141,140,50,183,56,53,62,924,309,353
Florida,4067,36,930,139,107,53,189,68,53,71,917,284,326
Florida,4112,45,958,123,131,47,215,54,57,66,933,313,286
Florida,4024,59,897,158,95,45,201,48,58,59,961,268,243
Florida,3868,54,860,138,93,38,200,44,64,64,883,284,266
Florida,3929,46,868,146,143,43,212,51,62,62,945,289,196
Florida,3904,60,881,125,128,40,205,41,58,59,945,288,183
Florida,3936,64,874,148,116,61,201,48,56,66,988,280,161
Florida,3969,53,914,139,127,50,218,49,53,64,893,285,187
Florida,3994,46,902,133,128,56,211,44,65,77,903,313,223
Florida,4031,64,871,140,133,60,219,50,62,65,923,302,304
Florida,4432,53,946,148,130,57,228,53,69,80,989,303,485
Florida,4830,51,879,174,145,68,215,56,59,78,1014,312,900
Florida,5519,56,859,178,145,59,260,65,67,77,1104,302,1508
Florida,6178,70,957,201,129,67,204,63,64,72,1061,281,2174
Florida,6717,55,875,222,147,64,266,68,73,72,1024,335,2641
Florida,6841,47,895,204,143,48,214,67,82,91,996,332,2851
Florida,6719,46,900,191,127,59,221,45,69,69,1072,317,2819
Florida,6351,66,907,190,135,77,212,57,65,72,1023,318,2389
Florida,5840,69,916,148,148,63,200,47,76,76,981,343,1927
Florida,5388,59,846,168,129,62,236,45,77,74,988,295,1562
Florida,5019,61,905,152,132,58,196,52,58,84,912,319,1164
Florida,4663,57,898,156,124,47,214,62,61,62,945,297,851
Florida,4410,66,883,141,118,62,210,73,61,73,938,299,630
Florida,4184,60,867,125,115,51,208,45,71,62,927,295,489
Florida,4118,64,912,148,115,61,186,53,54,71,911,288,344
Florida,4088,37,908,160,115,67,193,57,65,71,904,281,293
Florida,4091,70,912,155,115,49,186,59,77,79,919,334,230
Florida,4117,46,948,140,116,46,208,52,73,76,945,311,185
Florida,3889,52,835,137,131,49,196,58,67,64,967,291,156
Florida,4169,54,931,150,131,53,216,49,67,95,974,344,169
Florida,4161,44,886,150,118,56,206,53,77,61,1006,307,170
Florida,4077,70,926,153,122,60,213,68,86,67,937,294,158
Florida,4086,49,875,130,116,52,199,57,71,69,1002,325,191
Florida,4371,59,967,152,106,80,236,51,67,82,1050,299,301
Florida,4755,78,906,162,133,65,239,54,92,77,1097,346,560
Florida,5344,69,921,187,167,69,242,59,89,89,1116,367,1023
Florida,5551,55,879,197,141,72,232,56,85,96,1153,384,1327
Florida,5669,55,936,185,153,76,278,67,111,92,1160,342,1319
Florida,5530,47,935,180,188,59,242,51,101,68,1132,375,1227
Florida,5184,54,966,161,147,55,238,62,81,74,1081,383,1024
Florida,4946,65,934,173,120,59,234,67,63,84,1130,327,806
Florida,4542,62,875,133,127,53,231,43,77,82,1026,339,592
Florida,4301,49,869,141,120,57,200,61,89,80,977,326,434
Florida,4283,58,952,142,114,54,215,59,93,82,1065,339,310
Florida,4061,55,917,145,119,54,221,69,67,74,1002,282,221
Florida,4013,57,957,158,138,57,205,50,73,77,930,303,189
Florida,4137,67,989,125,111,58,240,54,76,68,950,328,138
Florida,3903,55,898,152,104,46,195,47,62,65,937,309,122
Florida,3881,60,924,145,92,57,200,55,66,63,911,295,106
Florida,3870,53,903,112,100,41,196,50,74,71,999,336,94
Florida,3896,47,905,141,115,56,203,42,67,59,968,325,98
Florida,3932,52,831,144,107,54,225,69,74,79,963,281,95
Florida,3869,64,898,127,107,53,216,56,60,65,930,318,92
Florida,3888,61,937,127,123,61,213,56,75,50,881,291,124
Florida,3859,48,823,130,125,42,197,46,65,62,897,323,153
Florida,4016,59,920,152,120,53,224,56,70,64,938,300,183
Florida,4077,61,931,128,128,62,210,63,71,56,957,299,199
Florida,4017,44,884,146,120,66,217,58,83,48,954,310,237
Florida,4121,52,967,120,101,46,200,47,62,77,964,313,287
Florida,3931,53,865,141,128,40,186,47,69,68,906,333,265
Florida,3940,47,886,150,113,56,186,52,77,74,910,281,301
Florida,3999,68,849,142,115,47,191,48,83,74,929,295,319
Florida,4179,56,911,151,116,47,211,53,78,58,941,360,343
Florida,4026,43,879,149,115,45,209,54,78,63,940,294,346
Florida,4092,65,881,129,124,51,195,47,81,88,931,305,355
Florida,4003,48,890,129,134,60,211,47,69,76,887,303,342
Florida,4191,48,918,152,106,45,203,70,65,88,982,351,350
Florida,4080,55,913,135,115,45,220,40,68,64,961,294,303
Florida,3932,53,886,118,113,38,206,51,74,76,935,307,293
Florida,4009,55,857,136,120,45,193,55,58,78,968,314,258
Florida,4019,56,949,139,101,53,216,61,76,88,886,334,219
Florida,3947,49,893,152,121,49,203,51,75,102,894,312,211
Florida,3830,51,856,153,115,46,201,46,71,68,910,294,176
Florida,4007,50,916,132,123,57,246,60,55,87,890,317,147
Florida,3977,51,867,153,127,39,223,60,65,100,948,316,141
Florida,3954,51,922,138,113,42,207,55,55,72,919,311,154
Florida,4039,56,913,165,124,54,202,38,71,100,962,302,129
Florida,3940,47,944,125,123,61,215,41,70,105,907,299,109
Florida,4026,46,886,134,127,46,244,69,62,106,991,307,97
Florida,3930,58,885,144,122,64,191,57,69,92,920,309,120
Florida,4071,67,940,153,111,64,219,60,76,95,909,321,130
Florida,3993,63,805,148,125,78,214,58,73,108,960,311,130
Florida,4200,60,911,148,125,67,238,67,73,99,962,310,153
Florida,4112,72,871,139,100,70,232,60,83,122,986,333,141
Florida,4307,76,888,150,127,75,241,57,65,142,1019,323,152
Florida,4611,48,936,193,147,109,237,63,88,157,1053,351,192
Florida,4631,48,932,156,128,101,280,58,87,180,1159,331,223
Florida,4573,64,957,169,133,101,246,73,87,125,1062,359,217
Florida,4712,59,970,152,135,86,239,57,86,211,1101,355,242
Florida,4398,65,924,140,119,89,246,51,60,169,1017,339,205
Florida,4413,62,915,137,137,76,233,57,72,186,1039,326,206
Florida,4389,55,909,152,126,57,247,72,57,201,1024,336,176
Florida,4287,48,891,138,131,51,223,74,72,259,1005,329,151
Florida,4241,47,964,158,125,52,222,48,74,244,922,312,160
Florida,4326,58,948,166,117,46,218,54,88,258,980,333,119
Florida,4182,49,889,131,114,60,217,52,59,313,967,310,106
Florida,4187,49,934,136,106,55,214,62,66,302,941,321,97
Florida,3998,47,896,121,115,65,216,67,64,317,866,296,86
Florida,3251,34,718,95,115,38,166,33,54,256,717,280,64
Georgia,1657,41,337,61,83,61,100,44,41,23,401,93,0
Georgia,1664,39,343,44,109,44,118,51,41,19,400,74,0
Georgia,1608,38,318,54,95,39,106,40,46,24,389,93,0
Georgia,1695,35,368,51,99,55,115,40,52,20,397,77,0
Georgia,1671,29,357,56,75,34,108,39,47,24,411,100,0
Georgia,1627,28,350,56,81,45,96,31,39,23,418,104,0
Georgia,1601,39,322,50,85,34,99,46,48,22,415,89,
Georgia,1603,37,335,49,90,50,107,41,37,22,398,86,0
Georgia,1708,37,387,64,80,29,100,57,43,23,401,94,0
Georgia,1594,43,325,43,82,37,80,35,37,26,432,97,
Georgia,1632,29,325,52,88,39,103,45,27,43,393,90,
Georgia,1625,34,377,47,69,40,100,41,47,14,369,90,43
Georgia,1733,39,374,54,81,40,98,57,46,24,368,114,98
Georgia,1866,39,360,52,108,43,111,49,37,22,358,94,221
Georgia,1883,45,330,61,109,44,106,43,38,23,416,84,218
Georgia,1899,33,309,61,101,36,86,37,65,24,417,109,269
Georgia,1879,35,336,60,131,28,93,42,28,28,374,101,260
Georgia,1840,38,325,43,102,25,101,42,37,20,396,82,275
Georgia,1819,37,332,59,105,34,91,51,38,33,395,74,211
Georgia,1807,35,366,61,107,23,98,40,37,21,387,86,198
Georgia,1733,30,345,44,106,20,84,45,39,24,399,94,156
Georgia,1632,31,302,52,93,19,101,46,40,24,356,91,145
Georgia,1609,30,342,37,87,24,77,47,38,22,368,73,123
Georgia,1581,22,331,37,74,32,82,33,41,27,369,78,119
Georgia,1617,44,332,53,81,27,84,46,49,34,379,73,96
Georgia,1654,37,347,45,84,23,89,53,46,19,363,80,129
Georgia,1721,31,320,64,95,11,74,34,52,23,424,86,151
Georgia,1805,39,329,56,88,19,90,49,37,20,443,73,226
Georgia,1978,30,380,60,101,25,81,37,35,33,418,89,300
Georgia,1994,32,342,44,95,33,79,45,34,25,413,103,377
Georgia,2018,30,341,54,95,27,102,38,33,33,407,94,420
Georgia,2016,36,322,60,93,33,87,39,43,19,373,86,474
Georgia,2082,37,352,60,99,27,90,49,42,30,436,74,427
Georgia,2074,27,354,62,78,23,94,46,43,23,429,110,415
Georgia,1968,37,348,54,87,30,73,44,45,31,398,89,347
Georgia,1855,37,344,61,94,28,95,36,32,23,353,84,261
Georgia,1875,39,335,55,80,27,90,30,47,27,405,97,262
Georgia,1789,29,349,52,76,22,79,43,34,28,380,102,226
Georgia,1828,27,368,58,97,27,77,46,30,19,414,99,220
Georgia,1777,34,314,45,84,27,79,41,45,31,439,100,167
Georgia,1739,50,351,66,95,17,69,52,35,20,402,74,167
Georgia,1743,44,308,51,103,33,86,40,47,24,416,88,155
Georgia,1804,31,351,50,100,21,101,49,43,22,412,98,174
Georgia,1788,43,316,46,73,28,78,47,40,15,417,98,205
Georgia,1848,41,335,62,75,22,105,56,38,24,406,100,216
Georgia,1868,41,357,71,94,22,69,48,46,29,407,82,233
Georgia,1804,47,340,53,84,16,87,38,30,22,426,90,221
Georgia,1903,34,355,53,101,21,85,45,62,23,423,81,252
Georgia,2025,37,355,66,96,25,97,49,39,26,458,101,295
Georgia,2093,50,401,50,90,27,98,57,42,36,421,107,343
Georgia,2252,44,389,68,114,32,98,44,34,21,483,107,386
Georgia,2211,34,335,59,98,39,78,62,43,22,444,108,497
Georgia,2532,41,339,54,116,42,108,64,42,27,492,131,687
Georgia,2718,34,371,77,118,22,95,57,44,23,497,95,839
Georgia,2927,41,363,78,127,38,106,44,62,32,516,113,992
Georgia,2809,49,339,69,99,30,104,50,51,23,533,123,931
Georgia,2597,46,349,79,92,34,92,73,55,28,437,98,885
Georgia,2519,41,336,50,102,26,98,64,50,26,481,126,724
Georgia,2205,39,365,53,88,33,87,52,35,31,442,119,486
Georgia,2099,31,361,52,92,41,90,33,51,24,427,89,410
Georgia,1938,39,334,62,80,33,76,47,48,14,428,92,318
Georgia,1765,26,343,65,71,16,85,41,38,20,375,88,258
Georgia,1801,45,340,56,71,25,79,43,40,24,412,103,186
Georgia,1725,37,328,60,88,26,89,36,29,16,411,91,173
Georgia,1704,35,343,59,76,24,89,37,34,23,421,91,120
Georgia,1594,20,324,52,75,22,98,39,38,24,363,80,138
Georgia,1784,26,386,66,94,31,85,30,45,26,385,120,124
Georgia,1695,27,372,35,66,22,89,56,37,31,391,99,123
Georgia,1702,39,372,53,68,18,96,40,33,12,394,97,121
Georgia,1646,30,321,46,81,15,80,40,51,24,379,96,111
Georgia,1631,33,339,44,69,20,73,41,44,28,374,95,112
Georgia,1594,33,304,55,60,15,91,46,55,22,366,115,72
Georgia,1680,30,349,39,76,20,75,50,44,21,398,108,90
Georgia,1694,42,366,45,73,14,86,48,39,24,402,113,81
Georgia,1583,34,357,46,73,13,83,27,42,26,378,93,70
Georgia,1595,26,337,58,76,22,93,35,38,28,365,84,69
Georgia,1533,33,324,50,88,20,78,49,44,24,349,104,43
Georgia,1584,32,383,50,79,18,99,42,22,21,373,102,40
Georgia,1594,36,358,50,78,22,94,35,46,26,402,88,41
Georgia,1583,23,351,43,71,24,83,38,46,21,403,92,39
Georgia,1572,33,337,50,80,25,88,40,44,20,385,96,51
Georgia,1626,32,373,51,70,21,92,42,44,19,353,88,77
Georgia,1758,39,394,61,76,33,88,35,50,26,366,85,121
Georgia,1875,38,350,47,84,30,86,42,46,16,413,103,258
Georgia,2167,35,373,63,93,21,89,36,46,30,440,99,478
Georgia,2396,31,345,67,100,25,90,45,44,34,428,94,699
Georgia,2669,48,367,71,101,19,103,40,48,31,478,97,885
Georgia,2733,30,357,67,92,32,104,44,45,27,478,91,1009
Georgia,2776,45,373,74,85,36,103,42,51,32,472,110,969
Georgia,2645,39,313,75,78,27,97,49,55,24,456,113,929
Georgia,2528,52,342,59,75,22,107,48,53,27,441,112,801
Georgia,2261,43,343,59,97,24,76,56,50,22,406,86,626
Georgia,2013,30,344,46,82,22,72,37,39,25,376,102,490
Georgia,1950,34,334,52,78,30,85,38,38,23,421,98,365
Georgia,1942,35,374,61,86,23,94,39,46,18,418,91,302
Georgia,1855,34,346,54,83,29,94,42,42,20,411,94,236
Georgia,1780,32,306,45,84,35,82,36,30,25,416,117,171
